113, 781, 304, 90
145, 1169, 294, 138
107, 1477, 328, 114
455, 1565, 301, 106
789, 1585, 224, 54
967, 1469, 552, 80
1841, 1443, 208, 50
1789, 1559, 238, 179
2181, 1633, 854, 111
3275, 1611, 148, 80
3274, 1967, 65, 212
3219, 2927, 261, 184
3210, 3412, 1102, 43
4222, 2894, 331, 84
4248, 3051, 200, 56
4619, 2923, 458, 178
5230, 2860, 671, 42
5813, 2384, 152, 94
6319, 1945, 177, 113
6296, 1673, 98, 40
6353, 1557, 66, 28
6411, 1431, 80, 30
6320, 1167, 56, 28
6185, 700, 96, 13
6341, 725, 64, 25
5902, 525, 67, 44
5663, 808, 232, 37
5425, 1036, 62, 35
5381, 1130, 51, 37
5427, 1483, 32, 231
4879, 1428, 64, 30
4728, 1675, 103, 46
4299, 1397, 49, 28
3569, 1557, 120, 40
